speaker,THOUGHT_F1,THOUGHT_F2,FLEECE_F1,FLEECE_F2,KIT_F1,KIT_F2,DRESS_F1,DRESS_F2,GOOSE_F1,GOOSE_F2,TRAP_F1,TRAP_F2,START_F1,START_F2,STRUT_F1,STRUT_F2,NURSE_F1,NURSE_F2,LOT_F1,LOT_F2
CC_f_093,0.152853064,0.009859934,0.234090426,0.077817307,-0.000125415,-0.131214394,0.085946893,0.06864664,0.054418012,-0.008126617,-0.033915002,0.065635421,0.079131705,-0.016957771,-0.229583843,0.093143039,-0.151541312,-0.064864974,-0.033182424,0.112179767
CC_f_104,0.355310064,0.092925475,-0.138600905,0.066737068,-0.018654396,0.024502182,0.010381294,0.085490669,-0.069908175,-0.025038876,0.145821901,-0.016970402,-0.038142312,-0.476674328,-0.086717513,-0.325043072,-0.04993881,0.003329896,-0.026859983,-0.232622002
CC_f_105,0.123335654,0.5345465,0.01658635,-0.052895712,0.086176593,-0.172798132,-0.034549093,-0.038040927,-0.043113246,-0.085072526,0.026852313,0.049570497,0.003307192,0.023428631,-0.033123738,-0.077862572,-0.056618764,0.173097892,0.150111924,-0.228763677
CC_f_107,0.407539803,0.41722213,-0.049383619,0.131416026,-0.002613233,0.063477262,-0.086210176,0.136669122,-0.115157836,0.013748572,-0.119347461,0.068968228,-0.043511851,-0.245350615,0.05748057,-0.162777214,-0.029473385,-0.289415793,0.139339221,-0.100323679
CC_f_111,0.138372366,0.093669393,-0.044151631,0.000721707,0.286474462,0.253638301,0.002279813,-0.674249843,-0.033639314,0.01997273,-0.453194949,0.10026241,-0.078250351,0.062031248,0.10263044,0.241321731,0.011057053,0.192359678,0.063597921,-0.21404241
CC_f_115,-0.020569484,0.508432178,0.08822348,0.061207514,-0.218691006,-0.07738237,-0.122303853,0.095973281,0.037996989,-0.247752031,-0.182195095,0.424609431,-0.015787091,-0.313544465,-0.026635087,-0.18044134,-0.029735738,-0.172718129,0.232490895,-0.128283171
CC_f_117,-0.158513657,-0.143880805,0.133036246,0.035110851,0.047680689,-0.015345583,-0.009215382,0.130104317,0.096289524,-0.183197948,-0.055764633,-0.008504218,0.042389567,0.135386039,0.099631301,0.12098941,-0.072695615,0.060568974,-0.085755334,0.004653255
CC_f_125,0.239664963,0.043605621,-0.126734926,0.043498931,0.233357167,-0.040450834,-0.018500227,0.056293192,-0.140890706,0.101058194,-0.129627449,-0.004968096,-0.019929721,-0.106366383,-0.070507508,-0.054251703,0.008598815,-0.052637275,-0.053614822,-0.003648035
CC_f_127,0.001689143,-0.03547124,0.186877157,-0.196852868,0.058036744,-0.121593816,0.128542325,-0.059953761,-0.034888552,0.03155866,0.012209918,-0.0914508,0.158767659,0.014558698,0.154194059,-0.034215205,-0.055444163,0.277709477,-0.311882124,0.001979041
CC_f_129,0.154161393,0.050715765,-0.103684865,0.14001873,-0.252176901,0.065703953,-0.011312659,-0.030547297,0.091567669,-0.135378196,-0.018163915,-0.040481846,-0.021937693,0.171276442,-0.001161754,0.004907174,-0.038943185,-0.251858911,0.230180432,0.003306914
CC_f_130,0.080998801,-0.121552404,0.046885579,0.052107397,0.065299224,-0.096410825,0.068035513,-0.066727664,-0.122012493,0.136846235,-0.080057918,0.025481646,-0.002637182,0.07089439,-0.005060632,0.00577562,-0.061570828,-0.106005103,0.000989313,0.003750557
CC_f_134,-0.172060147,-0.223415953,-0.125423035,0.033978433,-0.171117322,0.119082496,0.178266389,0.218894195,-0.109736064,-0.164904341,0.140762875,-0.122744233,-0.024966554,-0.031371379,0.084577549,-0.025438866,0.084015059,-0.084902329,0.072931032,0.058682998
CC_f_136,-0.057207915,-0.127857055,0.010679259,-0.038926508,0.026525914,-0.141461812,0.147288435,0.177167171,-0.001725369,-0.016388437,-0.180631657,0.097688117,-0.011502977,-0.055749077,0.045682773,0.06741589,0.030962135,0.004689211,0.002350469,-0.027862067
CC_f_137,0.098493448,0.090590331,-0.004258671,0.313538406,-0.09872812,0.194491144,0.160786817,0.151086009,-0.005720356,-0.317415042,-0.105011342,0.046423591,-0.014586366,-0.048871066,0.11895761,-0.072491108,-0.06893539,-0.272853967,0.002966586,-0.091545797
CC_f_146,-0.068826762,-0.16446683,0.097272598,-0.041266899,0.076547605,0.208636613,0.064882746,-0.233552494,0.037542918,0.315905998,-0.301388188,-0.396415194,0.038380906,0.194799326,-0.046001325,0.243643839,-0.03168915,0.15919746,-0.071476218,-0.095206703
CC_f_148,0.492019336,0.392947664,-0.091463148,-0.144072843,0.001595944,-0.082131695,-0.209309531,0.014627918,0.126754272,0.138590832,0.064208701,0.036721708,0.231754319,-0.033406545,-0.373557369,-0.558015494,-0.05406236,0.200107387,-0.145652702,-0.024017715
CC_f_151,0.189378587,0.503217756,-0.070004589,-0.407883587,0.063925286,-0.039535217,-0.232476696,-0.321214133,-0.05841341,0.084394441,-0.081639218,0.302098556,-0.157615541,0.269668057,0.034649647,-0.222304089,0.030671332,0.290816793,0.312975857,-0.466766218
CC_f_160,0.284235592,0.599023229,-0.131863605,0.189594447,-0.183051636,0.201053059,0.095754524,0.114052296,-0.08464057,-0.183543246,-0.00131348,0.342843967,0.087802349,-0.195664885,-0.143440435,-0.080840627,0.132438376,-0.457964096,-0.022535753,-0.119781262
CC_f_161,0.339500345,0.18955049,-0.144382936,-0.216397226,-0.111492914,0.193630093,-0.069190299,-0.293749721,-0.00804219,0.065066305,0.230415382,0.279264951,-0.163758298,-0.078584767,0.204911685,0.020607904,-0.182931794,0.218648568,0.18835786,-0.270607578
CC_f_164,-0.04768008,0.349727875,0.031147725,-0.048720086,-0.091287614,-0.145348569,-0.135272475,0.142638041,0.140778928,-0.097709829,-0.143246693,0.07093823,-0.034594405,-0.074798474,0.065397492,-0.17926181,-0.099426912,0.242221705,0.094531597,0.036356696
CC_f_165,-0.165707557,0.073596652,-0.056377245,0.246549623,-0.015742903,-0.093207555,0.01885824,0.195086203,-0.075971295,-0.013879645,0.161330034,-0.059030535,-0.046104266,0.068261687,-0.015221839,0.053237848,0.093738785,-0.204020958,-0.022856989,0.166752715
CC_f_170,-0.101382006,-0.398140265,0.086646583,-0.109492793,-0.21389898,-0.183095731,-0.14957309,-0.065833893,0.123832141,0.181692715,-0.186481511,0.124612687,0.041352099,0.203194607,-0.026761219,0.078748314,0.090557083,-0.068917456,0.080550273,-0.024429395
CC_f_172,-0.279643725,-0.036746887,0.179357249,0.08533833,-0.03040936,-0.18744511,0.081220466,0.103809725,0.10850854,0.067032273,0.005426053,-0.03326569,-0.012554592,0.033430872,0.084846876,-0.024509407,-0.01365203,-0.075754269,-0.136523543,-0.10842986
CC_f_176,-0.096054389,-0.154378822,-0.100107656,0.055328119,-0.158513437,0.10358714,0.034665519,0.063324084,-0.111446355,-0.196335912,0.286173172,-0.037233483,-0.055643152,0.157585285,-0.007958903,0.100541819,0.079387746,0.035221375,0.061636718,0.005232489
CC_f_177,-0.177157678,-0.176882178,0.101570388,-0.194765791,0.017151171,0.005870564,0.24068173,0.043826547,0.022213269,-0.152019542,-0.1842162,0.221659965,0.100631264,0.306745044,-0.139301348,0.080508066,-0.174717885,0.26656869,-0.031331494,0.013467436
CC_f_178,0.381023527,0.026658917,-0.023971297,-0.005454794,0.135274768,-0.14983647,-0.115286856,-0.165888373,0.334839448,-0.043665329,-0.404852053,-0.076494883,0.058921734,0.220621818,-0.141085807,0.005957585,-0.143970017,0.143416504,-0.229868553,-0.191483578
CC_f_185,0.260867809,-0.10680172,0.03948796,0.224747667,0.191309783,-0.170175708,-0.000200749,-0.129099471,-0.076157075,-0.015174143,0.256364097,-0.05561048,-0.006026165,0.1000285,-0.02162007,-0.041912784,-0.204616792,-0.020360332,-0.137065016,-0.060974093
CC_f_186,0.15165326,-0.179549212,-0.068804449,0.110149413,-0.101518327,-0.037083923,-0.009423688,0.218410908,0.022427277,-0.282309932,-0.103646598,0.243867415,-0.058358233,0.113681306,0.097147326,0.021076577,-0.016146262,-0.327410712,0.099510167,0.173891965
CC_f_191,-0.168542681,-0.120566309,-0.013809952,0.159121374,-0.027115219,0.107028914,-0.088784036,0.23463826,-0.00096258,-0.144661544,0.019149881,-0.144068585,0.058925953,0.019177824,-0.124261679,-0.016436395,0.106047566,-0.111146561,-0.057169773,0.104769775
CC_f_196,-0.09320132,0.163103294,0.147331015,0.285288318,0.053123095,-0.234069458,0.087603905,0.039443223,0.096584286,-0.144924066,-0.259253478,0.072829868,0.010815112,-0.042630569,0.144552013,0.024471716,-0.106580032,-0.028648665,-0.288799533,-0.076261361
CC_f_198,0.365053316,0.064438827,-0.132916295,0.057789782,-0.048116353,0.042500225,-0.117131217,0.238854355,-0.060442559,-0.161931057,-0.025645806,-0.04003422,-0.053120005,-0.212146761,-0.057632893,-0.194453986,-0.060379844,-0.091204511,-0.223781143,-0.082355948
CC_f_199,0.101269275,0.084954382,0.119880556,0.026955328,0.143166321,-0.078712367,-0.259180159,0.022429603,0.064204669,0.045159443,-0.200395566,-0.043120721,-0.040570176,-0.156187397,-0.141213301,0.009814503,-0.165170466,0.137442355,0.335617565,-0.101458142
CC_f_205,0.138603585,0.029642193,0.010498283,0.151621712,0.076669206,-0.219220634,-0.349021187,0.155104285,0.076149558,-0.075236198,0.045521285,-0.046451738,-0.039451147,0.082824376,0.103930739,0.006012667,-0.080167903,-0.199126517,0.000761476,0.078928627
CC_f_210,0.16526933,0.007179398,-0.037057063,-0.018888207,-0.088247559,0.179857308,-0.002369447,0.10336694,-0.006467933,-0.060892604,0.034645637,0.037092549,-0.075677279,-0.127754909,0.048263827,-0.081304007,-0.165652124,0.026261776,0.154488326,0.058432944
CC_f_212,-0.140366166,0.125342998,0.122927576,-0.005670038,-0.103484649,-0.23719415,-0.000638808,0.128115736,0.212159123,-0.210636014,-0.212018486,0.14980239,0.128760818,-0.044314673,0.104785365,-0.013137214,0.177010884,0.034316112,-0.454897718,0.072400261
CC_f_215,-0.054385484,-0.081660461,0.008838497,-0.367957342,-0.064295872,0.217296307,-0.075634985,-0.413908317,-0.004816833,0.331532408,-0.140731173,-0.23873918,0.00316002,0.11087116,0.096185054,0.226019661,0.003916119,0.448837752,-0.028916184,-0.082533184
CC_f_218,-0.039055388,-0.109533786,-0.132437604,-0.254453257,-0.149867331,-0.033336325,0.064444103,0.168211509,0.054070686,0.158922327,0.260802344,-0.033740254,-0.08818911,0.179462351,0.172756264,0.138327195,-0.122209835,0.047194481,-0.106498113,0.034211314
CC_f_225,-0.019138524,-0.5211868,0.284218409,-0.153702709,0.25607951,-0.105845934,-0.025798287,-0.148813152,0.056075166,0.070539392,-0.236556799,0.045549252,-0.015517435,-0.031129925,0.189525735,0.001285866,-0.269965418,0.485348985,-0.177905796,-0.140258123
