speaker,Aa,Ab,Ac,Ad,Ae,Af,Ag,Ah,Ba,Bb,Bc,Bd,Be,Bf,Bg,Bh,Ca,Cb,Cc,Cd,Ce,Cf,Cg,Ch,Ci,Cj,D
P55,26,0,0,30,39,0,0,0,99,99,98,100,98,100,100,97,0,2,3,0,0,0,0,3,0,0,2
P56,29,6,10,18,50,12,6,14,100,95,95,95,98,96,94,98,0,10,5,9,0,4,2,2,10,3,7
P57,34,7,43,74,19,5,6,53,99,98,97,100,96,96,98,100,32,18,12,18,0,18,5,8,88,2,5
P58,81,41,46,72,73,58,52,43,82,89,75,89,99,87,95,93,0,1,1,6,0,2,1,0,1,0,1
P59,48,6,18,40,24,12,4,6,85,96,82,43,67,97,78,81,3,2,9,20,0,0,7,5,4,2,8
P60,99,0,46,64,65,25,34,7,99,96,100,95,98,99,100,96,1,2,0,13,8,0,2,0,1,0,7
P61,0,1,18,36,56,0,2,0,73,100,81,84,45,99,89,47,0,4,7,2,2,2,4,4,0,1,7
P62,1,1,0,7,31,6,8,5,85,82,84,87,88,87,85,85,2,1,0,0,3,3,0,3,0,0,5
P63,23,2,1,25,15,0,3,0,81,98,98,99,97,99,82,83,3,3,0,1,0,0,0,0,0,0,4
P64,17,32,29,46,46,20,29,53,68,65,96,86,99,100,100,63,18,5,2,3,0,2,4,0,2,0,3
P65,50,0,1,14,49,4,0,0,89,98,100,100,81,100,100,100,1,11,11,0,0,3,6,7,0,0,8
P66,3,3,8,29,3,0,2,18,100,97,100,100,100,100,97,100,2,0,0,0,0,0,2,4,3,0,7
P67,43,3,4,24,10,1,0,0,100,99,100,98,97,98,100,49,0,18,18,0,21,3,3,0,0,3,5
P68,10,4,26,21,24,0,4,44,100,98,100,98,58,96,96,97,32,13,7,0,0,3,0,0,3,0,6
P69,29,5,35,53,57,43,11,33,97,99,96,96,97,97,98,100,0,17,3,9,2,0,3,0,1,0,5
P70,6,1,7,41,62,32,5,0,76,99,100,98,89,69,78,86,1,0,4,3,1,1,5,13,0,0,5
P71,11,6,9,21,12,11,5,9,73,84,74,86,84,81,79,66,0,3,3,6,5,7,0,0,2,5,5
P72,19,4,10,53,36,22,8,1,91,99,100,97,61,91,91,73,0,4,0,2,0,2,1,3,0,1,4
P73,1,1,7,20,19,5,6,6,80,100,81,69,46,71,44,42,3,3,0,6,3,1,0,0,2,0,6
P74,18,1,10,26,22,2,2,7,62,61,60,70,46,58,55,43,0,9,13,6,19,2,22,0,32,2,7
P75,0,0,2,46,35,2,18,0,80,83,98,100,100,79,44,60,0,3,4,1,2,1,1,4,2,0,3
P76,33,0,5,14,12,3,4,8,46,71,65,62,57,78,72,56,6,12,9,13,2,1,2,3,0,0,5
P77,23,8,6,22,9,16,11,15,76,91,95,100,100,100,98,100,1,12,7,7,20,0,8,3,2,0,5
P78,0,0,2,25,31,0,0,6,97,97,98,97,59,79,100,99,0,8,8,7,12,1,5,0,1,0,5
P79,0,1,0,11,10,2,0,0,59,97,100,99,100,96,100,68,0,7,2,10,0,2,1,0,3,2,7
P80,65,14,92,99,62,99,35,86,100,99,100,100,58,81,97,62,0,7,46,29,48,0,14,21,9,12,6
P81,18,21,22,33,0,8,0,2,51,98,100,99,98,96,97,100,0,32,3,27,51,0,11,0,0,0,2
P82,47,2,11,31,48,12,10,65,100,91,100,96,94,94,96,96,0,2,3,2,19,38,2,10,1,0,3
P83,34,0,75,60,38,42,9,39,97,98,98,94,72,97,92,72,0,5,2,8,1,2,3,6,3,1,7
P84,0,0,0,18,0,1,1,1,49,100,47,50,57,58,69,86,1,10,13,3,0,3,4,4,3,0,2
P85,27,40,62,0,44,15,2,39,96,100,94,78,97,94,94,78,0,10,19,9,42,11,10,19,11,40,5
P86,28,4,19,33,15,0,4,16,56,75,64,54,51,63,61,45,2,10,9,8,13,7,11,14,4,7,4
P87,1,0,0,11,15,1,19,0,99,100,97,100,100,99,100,47,1,18,17,18,3,0,2,3,3,3,5
P88,73,2,4,53,23,11,37,0,53,98,100,94,97,95,93,59,0,20,0,23,3,1,6,0,4,0,2
P89,23,0,0,75,48,0,3,0,75,76,99,100,74,100,96,73,3,23,31,13,0,1,12,10,3,3,5
P90,32,7,67,75,79,67,6,23,99,99,96,94,69,84,83,83,26,16,13,12,1,8,9,8,4,0,4
P91,98,41,73,100,84,44,0,0,99,98,99,100,65,97,97,100,0,28,1,23,4,1,7,3,2,3,1
P92,47,0,0,48,54,82,9,2,97,97,100,97,97,94,89,95,0,0,1,2,12,13,7,2,1,0,7
P93,7,8,7,61,41,19,16,9,67,79,82,84,82,81,76,59,1,10,0,10,9,3,2,3,6,0,4
P94,78,5,28,47,19,1,8,8,90,89,88,86,93,93,90,94,3,2,0,10,16,4,6,0,0,0,3
P95,18,15,32,34,47,8,0,29,80,97,97,93,96,97,97,78,0,2,0,5,0,6,0,0,13,1,7
P96,20,9,4,65,31,2,49,8,96,99,98,99,91,93,94,96,3,6,0,4,0,1,0,2,3,0,6
