speaker_interval,amp_int,DRESS_F1_50,DRESS_F2_50,FLEECE_F1_50,FLEECE_F2_50,GOOSE_F1_50,GOOSE_F2_50,KIT_F1_50,KIT_F2_50,LOT_F1_50,LOT_F2_50,NURSE_F1_50,NURSE_F2_50,START_F1_50,START_F2_50,STRUT_F1_50,STRUT_F2_50,THOUGHT_F1_50,THOUGHT_F2_50,TRAP_F1_50,TRAP_F2_50
QB_NZ_F_131_660,0.344564969,-0.393921856,-0.111586078,-0.028101731,0.262097073,0.221537482,-0.064730809,-1.046182832,-0.212265712,-0.677136063,0.083757808,0,0,-0.123878731,-0.071056862,0.577634515,0.075631623,0.331088817,-0.081004245,0.284120014,-1.264878427
QB_NZ_F_131_720,-0.430332872,-0.440688834,-0.489460041,-0.720183781,0.369481126,0,0,-0.2188248,-0.338845905,0.467251666,0.77537407,-0.841876235,-0.238400998,-0.259077785,0.115555927,-0.148079276,-0.057460224,0.176927471,0.456106639,-0.176215674,0.787709893
QB_NZ_F_131_780,-0.080354339,0.019486241,0.141555646,0.318349538,-0.162169069,-0.205559744,-0.557810228,-0.61224677,-0.093231919,0.213588735,-0.641080197,0.418045303,0.113984302,0,0,-0.458801046,0.044507864,0.120615234,0.010934418,0.254482697,0.586425834
QB_NZ_F_131_840,-0.184684194,-0.170879344,0.391240758,0.360780515,-1.264962312,0.126285583,0.322771476,0.276300934,0.752534502,-0.004251569,-0.453398928,-0.711632317,-0.288919917,-0.236795376,0.459863014,0.026154107,1.0146193,0.146509817,-0.290289955,0.14389798,0.535517414
QB_NZ_F_131_900,-0.084082957,0.761890608,-0.008265927,0.866670282,0.439091092,0.148408605,-0.687547647,0.296809101,-0.364759961,-0.424441311,-0.392132858,0.025429856,-0.439170151,-0.149098692,-0.089942407,0.112805253,0.291605874,-0.154689038,-0.375559565,0.742219501,-0.926337436
QB_NZ_F_131_960,-0.234850656,-0.602574528,0.305082847,-0.509933603,0.872086621,-0.451678362,-0.532794956,-0.140698451,-0.121234287,0.308596573,-0.758885131,0.553133003,0.549116107,-0.14945693,0.035292362,-1.242302163,-0.630635163,-0.434757611,-0.336606643,-0.228061833,0.591320874
QB_NZ_F_131_1020,-0.501163267,0.026980949,-0.228743187,0.593862739,0.656191634,0.281146736,-0.156595051,0.117676544,0.359196162,0.260187617,0.050085856,0.418045303,0.759624801,-1.254084074,-1.008783174,-0.260741284,-0.29321857,0,0,-0.127325589,0.483434185
QB_NZ_F_131_1080,-0.032961223,0.633409898,-0.462143344,0.250522489,-0.229188783,0.939921163,-0.212726343,0.773770459,-0.054289644,0.669843148,-0.363333491,-0.499615939,-0.972231852,0,0,-0.002045579,0.277170111,0.285556567,0.179937165,0.158032869,-1.078727035
QB_NZ_F_131_1140,-0.423261253,-0.364242812,0.689097813,0.604266989,0.58750843,-0.677824807,0.488335619,0.270022924,0.438575755,-0.800578902,0.003939337,0.469846861,-0.526212349,0,0,-0.026739023,0.703059172,0.548347008,0.1189118,-0.676220949,0.628523181
QB_NZ_F_131_1200,-0.540348717,0.175376169,0.601947045,0.596700262,0.150737166,0.039637081,-0.46012104,0.774356407,-0.29461759,-0.250169068,0.605813751,0,0,-0.81377364,0.182127472,-0.139623856,-0.262234494,0,0,-0.157682779,0.32992572
QB_NZ_F_131_1260,-0.273103586,0.706900864,0.556054995,0.25194125,-1.111404616,-0.422488264,-0.035606082,-0.230543752,0.086410387,-0.711022332,0.575612168,0,0,0,0,0.215981274,0.607008535,0.237235088,1.004543129,0.121153063,0.205591695
QB_NZ_F_131_1320,-0.376052009,0.14839522,0.038224989,-0.306766975,0.307243451,-0.038715288,0.917263414,0.162041149,0.493393949,0.219639854,0.544331956,-0.1350877,0.390155714,0.248832176,0.304175305,0.405890011,-0.05851419,-0.192230529,0.686907702,-0.629122888,-0.316219607
QB_NZ_F_131_1380,-0.071914715,0.580989769,-0.10849719,0.589890207,0.401477744,0.639416783,0.456866572,0.248867932,0.032196251,-0.009092465,0.132080341,0,0,0,0,0.018144337,-0.400113634,0.593879259,-0.618888079,0.511645772,-0.2790173
QB_NZ_F_131_1440,-0.428312046,0.392722702,0.225396891,0.277478955,0.263607347,-0.004608963,0.357136447,0.709902169,0.354479662,-0.059921869,-0.4253546,0.543849088,-0.093970733,-0.043490104,0.548979178,0.263291836,-0.021333299,0.441031757,0.640067455,-0.262447247,0.45132272
QB_NZ_F_131_1500,0.016663889,0.758464456,0.650486713,0.109355733,0.287869161,0.384387504,0.745080015,0.162715877,-0.059781531,-0.289864412,-0.213943516,0.077635063,-0.231155729,1.082667149,0.55334646,-0.560723675,0.295618566,-0.571640825,-0.072770439,-0.193676419,0.891876352
QB_NZ_F_131_1560,-0.732378729,0.629555477,0.224790145,-0.101603826,-0.864003586,0,0,-0.094938733,0.304022006,-0.038137839,-0.792088114,0.38104419,0.140114777,0.165147758,0.074597902,0.362200357,0.098342697,0.164413641,-0.179965444,-0.43376166,0.986840135
QB_NZ_F_131_1620,-0.81329174,0.944333215,-0.385614569,0.226403546,-0.083969517,0.167766249,0.898729497,-0.154370562,-0.170030785,-0.341893516,-0.037517495,0.03511742,-0.307745737,0.077809313,0.280450339,0.814266909,0.015072991,-1.030657175,-0.636873312,0.022744918,-0.087131718
QB_NZ_F_131_1680,-0.349403044,0.562103104,0.12868528,1.203930126,-1.182783578,0.33645429,-0.696593964,-0.478594909,-0.831379072,-0.47562852,-0.655336845,0.893475969,-0.089783918,-0.037292585,-0.899424067,0.267539442,-0.308323307,0.147904431,-0.334866562,-0.094732199,0.686284657
QB_NZ_F_131_1740,-0.200465524,0.433493914,0.53222643,0.320041796,-0.340300861,0.084190389,0.361245902,0.288996466,0.395385662,0.714137344,-0.550043995,0.181238179,0.976289994,0.720918328,-0.417842677,0.61404256,0.047745954,0,0,0.298716584,-0.46463723
QB_NZ_F_132_60,1.022324358,0.552886043,0.133564192,1.402811608,-0.250405886,0.096006544,0.80469867,0.191729815,-0.206045417,1.553314727,0.366508987,0,0,-0.029789435,-0.075126239,0.244768978,-0.110316489,-0.167398705,-0.408440922,-0.075016009,0.32195445
QB_NZ_F_132_120,0.062048071,0.194885721,-1.115343632,0.431634341,-0.221981434,0,0,0.801860674,0.966373677,-0.25943018,-0.384140849,0,0,-0.159572704,-0.05970854,0.229143712,-0.805456635,-0.35594794,1.483126556,1.389895159,-0.731109537
QB_NZ_F_132_180,0.217574116,0.159589915,-0.547310518,-0.833839068,0.747833796,0.223757188,-0.446814026,-0.013662989,0.028909589,0.412400546,0.801186279,-0.645882914,0.344343488,0.017076746,0.546627483,0.210518235,-0.429024094,0.188652408,-0.482935799,-0.577678027,-0.260661608
QB_NZ_F_132_240,-0.249815508,0.079501234,-0.041649448,0.550442783,-0.252661795,-0.85786493,0.622505666,0.403170172,-0.042923595,0.160384271,0.13461346,-0.49649503,0.271049238,0.520271528,-0.578023523,-0.66930905,-0.106207919,-0.765803938,-0.570386307,0,0
QB_NZ_F_132_300,-0.088418735,0.444477495,0.552177821,-0.931937782,0.708919368,-0.099877776,0.447123614,-1.08706624,-0.16068989,0.028102311,-0.674881465,0.628088181,-1.007352116,0,0,-0.807036905,1.10288539,0.038947927,-0.143569471,-0.352264958,0.255267244
QB_NZ_F_132_360,0.265649382,-0.390736535,0.596952437,-0.425094427,0.679028575,-0.406479321,0.459042783,0.713163237,-0.768612027,-0.389676053,-0.690030784,0.004393761,0.479012162,-0.024049751,-0.904458242,0.082757527,0.726511078,-0.096338084,0.014135319,0.10385428,0.495341187
QB_NZ_F_132_420,0.337185381,0.633562171,-0.921409094,-0.212547213,0.560969343,0.742115104,-0.670375833,-0.05554789,0.509428902,0.514695759,-0.131248123,0.572067724,0.073738073,-0.103978409,0.206036513,0.626420113,-0.369596571,-0.489041518,-0.370991051,0.562209398,0.5492972
QB_NZ_F_132_480,-0.040981281,0.019415141,-0.119851255,-0.501004146,0.408964054,0.052261627,-0.317908992,0.126774621,0.381022906,0.334066373,0.226013028,-0.48507125,0.636949859,-0.362785982,0.173799507,0.475604084,0.42124483,-0.481561453,-0.089610944,0.314848214,0.603228468
QB_NZ_F_132_540,-0.345773819,-0.637086857,0.805354197,-0.778658541,0.321467016,-0.082844357,-0.954230057,0.874789679,-0.589244902,-0.559403982,0.552164361,0.037786347,-1.050973607,0,0,-0.290195007,-0.32865761,0.326285612,0.472137113,0.395339844,0.140055506
QB_NZ_F_132_600,-0.615794963,-0.424137123,-0.480797667,-0.294296142,-1.197887619,0,0,0.028669879,-0.052955314,0.12376216,-0.889926299,0.414771069,0.033920782,-1.049840396,-0.002522896,0,0,-0.115038247,-0.415526032,-0.57585282,-0.09150623
QB_NZ_F_132_660,0.006299601,-0.478255728,0.679124616,0.138973178,0.95199355,0.246210332,0.240318301,0.651642455,0.512225623,0.336679456,-0.44074573,0.187174232,-0.505578158,-0.268484396,-0.065595298,-0.45275012,0.581243799,0.29636535,0.024762985,-0.461412339,-0.103037302
QB_NZ_F_132_720,0.294685831,-0.62700234,0.378373076,-0.018393509,0.01015159,0.913610665,-0.176078626,-0.753181609,-0.159291529,-0.585820621,-0.697652626,0.366439694,0.315748586,0.266207496,0.045131808,0.225116582,-0.242787576,0.81687473,0.303804657,-0.123310987,-0.253495517
QB_NZ_F_132_780,-0.208949458,-0.374301991,0.019552773,-0.024524678,-0.044836189,0,0,-0.326119872,-0.313779993,-1.043845135,0.510612617,0.527251359,-0.143988964,-0.114414198,-0.536255576,-0.151822811,0.244371379,-0.270249605,-0.640984374,0.019712236,-0.085468501
QB_NZ_F_132_840,-0.012965606,-0.44800218,-0.280507085,-0.77497984,0.18272862,-0.34144263,-0.75195248,-0.268182825,0.219299445,0.036093214,0.108789095,-0.406862299,0.258114959,-0.2853714,0.388245673,0.606083105,-0.626440392,0.857370256,1.151295575,0.200407733,-0.076362419
QB_NZ_F_132_900,0.229926751,0.356237979,-0.116026116,0.801139497,0.435390415,-0.133944614,-0.191403271,-0.543383798,-0.0463283,0.108279641,-0.388155019,0,0,0,0,0.358213237,-0.018167144,-0.020892596,-0.042353605,0.298786392,0.064286962
QB_NZ_F_132_960,0.267290516,-0.086472278,0.56695242,-0.204372321,0.421854962,-0.899287108,0.151350221,-0.276305958,-0.237733488,-0.091702893,-0.135262294,0.037786347,-0.315875393,-0.887801051,-0.237152231,-0.017719373,-0.093118259,0,0,-0.504304704,0.083093002
QB_NZ_F_132_1020,-0.447741667,0.153287092,-0.656326974,-0.098098714,-0.39591201,-0.286084018,0.362489778,-0.825453596,0.412516422,-1.420619089,0.402636519,0,0,0.930682658,-0.460008051,-0.899097103,0.016462227,0.145216442,0.326229207,0.010768722,-0.211567946
QB_NZ_F_132_1080,-0.577051914,0.252367463,0.145230865,-0.163497856,-0.676772666,0.080134495,0.561710166,-0.075258432,0.200451974,-0.332004487,0.651515074,-0.514948827,-0.346055378,0,0,-0.572355889,-0.16049973,0.083183486,-0.251556329,0.343503964,-0.471635679
QB_NZ_F_132_1140,-0.18515193,-0.417748632,0.04367343,0.371957623,-0.615863126,0.216401848,0.146242006,-0.130447949,-0.083646292,-0.419093655,-0.095120591,-0.260989423,0.723178388,0.458984984,1.514017966,0.071884275,0.15644706,0.152696508,0.137967696,-0.075016009,-0.5073919
QB_NZ_F_132_1200,0.165814642,-0.682467179,0.299001446,0.594723453,-0.566797108,0.284535525,-0.058086597,-0.050620255,-0.190785045,0.985622372,0.763911841,-0.350622154,0.61754844,1.100880893,0.346477727,1.012420549,0.172587868,-0.444161125,0.141161231,-0.445350517,0.244330047
QB_NZ_F_134_60,1.506108901,-0.511648617,0.781336906,-1.049924794,-0.04867242,-0.45541196,-0.635922314,-1.038631766,-0.337277905,-0.575767577,1.559288498,-0.612946889,0.14620303,-0.015925192,0.378136369,1.200537149,0.055346385,-0.980914768,-0.494442476,0,0
QB_NZ_F_134_120,0.947907021,0.328717038,-0.188648057,-0.197081418,-0.176509099,-0.460996292,0.268562786,0.564710432,0.021019926,0.034120297,0.410772329,-0.140842576,0.284482992,0,0,0.326277422,0.048757529,0.988785173,0.274833332,-0.133519295,-0.533220966
QB_NZ_F_134_180,0.550866334,0.025622815,0.150812757,0.09312223,0.333543724,0,0,-0.77434459,-0.1718359,-0.330210863,0.18643828,0.997165436,-0.672264854,0.026498206,-0.23333022,0.067933985,-0.577842611,0.218206969,0.485429202,-0.04869762,-0.306028855
QB_NZ_F_134_240,0.034330262,0.76422034,-0.301177039,0.472163731,0.781489658,0.436540767,-0.369849679,-1.003561812,-0.151588569,0.621029196,-0.469877862,-0.109293839,0.48540004,0.138893944,0.256239005,0.287348959,0.629235683,-0.69550766,-0.209623008,0.163755728,-0.258316966
QB_NZ_F_134_300,-0.252000517,0.060784558,0.044915004,0.537311489,0.232878809,0.749263398,0.072463394,-0.333132193,0.003381386,-0.257676218,-0.297455825,0,0,0.455920192,-0.163472566,0.084310308,-0.424981168,-0.111169466,-0.132945796,0.292385303,0.469463343
QB_NZ_F_134_360,-0.069967766,0.568087365,-0.332222602,0.367532483,-0.560019136,0.306984248,-0.427982254,0.042308393,0.019501377,-0.682107512,0.036264248,0,0,0,0,-0.476585069,0.079964744,0.235567266,-0.085873723,0.297982626,-0.021247854
QB_NZ_F_134_420,-0.323067875,-0.205038219,-0.186612649,-0.610565963,-0.499277718,0.439621778,-0.031811679,-0.161806393,0.414186277,-0.14327872,0.128964268,-0.282811892,0.34726957,0.346906506,-0.360884074,-0.617234723,0.188911895,0.077917006,0.10429646,-0.124538177,-0.545400257
QB_NZ_F_134_480,-0.25468863,0.14939215,-0.610995205,-0.540587778,-0.710628341,-0.339681479,0.523803265,0.065276875,0.418533641,0.241598988,-0.13615779,0,0,0.727961877,-0.52690206,0.031267675,0.165643823,0.035679168,0.189707964,0.224827333,0.430566941
QB_NZ_F_134_540,-0.56706793,-0.249342015,-0.443582902,0.330023168,0.06104975,-0.879965667,0.841546534,0.207824549,-0.138617623,0.376119076,-0.303091986,-0.122814726,-0.442047403,0.291414599,0.234744343,-0.134271972,0.124529365,0.271528961,-0.012876106,0.061370976,0.201799255
QB_NZ_F_134_600,-0.209453317,-0.112211218,0.23946608,0.00033603,0.095208539,-0.148273661,0.4996488,0.579636204,-0.050351915,0.322600942,-0.145427792,-0.060843993,0.075044909,-0.323100806,-0.222300064,0.073693454,0.040850903,-0.883321751,0.074681416,-0.251171948,0.031898143
QB_NZ_F_134_660,-0.25188091,-0.416008676,0.098344463,0.603005295,-0.284326217,-0.247251144,-0.019174163,0.455965518,-0.308505383,0.528416961,-0.654387982,0,0,-0.659253703,-0.343631779,-0.348774049,-0.993467604,-0.370958407,0.306451326,-0.289903021,-0.198290459
QB_NZ_F_134_720,-0.445507418,-0.867485455,0.700146745,-0.549912602,0.699032853,0.687835738,-0.7164787,0.745647348,0.117773243,0.341252708,0.105789263,0,0,-0.679529592,1.325598474,0.547704741,0.121893823,0.082901596,-0.353234512,-0.518584751,0.912460894
QB_NZ_F_135_60,0.149444415,-0.463658297,0.482718497,0,0,0,0,-0.16349524,0.041001824,-0.203458884,0.129258863,0.562465624,0.267463957,-0.719278126,0.80840553,0.659052396,-0.124603617,0,0,-0.262375611,-0.291895036
QB_NZ_F_135_120,-0.452924483,0.008817109,0.451105955,0.91084203,-0.042203044,0.163736118,-0.342992447,-0.149591872,0.12983911,-0.18089005,0.154987791,-0.103387442,0.025028737,0.22605884,-0.239852396,-0.193082996,0.195619269,-0.243226222,0.0640444,-0.321072344,0.230807015
QB_NZ_F_135_180,0.206033037,-0.031924014,-0.575827747,0.220593128,-0.468432097,0.511032908,-0.564635751,0.21419549,0.061502736,0.836234679,-0.445990849,0.559430396,-0.056829956,0.057915901,-0.493813756,0.182294464,-0.103000244,0.229898757,-0.43302748,0.331792285,-0.33909383
QB_NZ_F_135_240,-0.094070429,0.018667947,-0.348440462,-0.206525659,0.273710392,-0.292018804,0.387683344,0.123248649,-0.14077293,-0.717111963,0.545596609,0.008536578,-0.293964973,0.36057319,-0.274171498,-0.422656616,-0.002609803,-0.453133783,-0.067319398,0.206429655,-0.040192722
QB_NZ_F_135_300,0.282499778,0.436051626,-0.473686342,0.081999176,0.045803063,0.677181538,-0.240887105,0.113448343,0.284450155,0.197672439,0.009766074,-0.475202829,0.456897144,0,0,-0.226400522,0.420932302,0.580855314,0.043060156,0.012499856,-0.289903837
QB_NZ_F_135_360,-0.226895424,0.076718979,0.533008643,-0.094290065,0.577201853,-0.183560671,0.194928381,0.586694236,-0.177674571,0.526040484,-0.205626691,0.0768292,0.515591987,0,0,-0.27082389,-0.360558848,0.448691295,0.642869928,0.051091643,0.441234968
